"","X","Y","pa","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"143",-112.541406,37.146797,"1",10.7,17.4,4.3,788.8,32.4,-7.7,40.1,2.3,14,21.1,0.9,350,43,12,29,117,52,78,112
"144",-110.541358,36.678047,"1",10.4,13.4,3.6,841.1,30.6,-6.6,37.2,20.7,14.2,21.5,-0.1,267,36,8,33,94,36,76,62
"145",-105.686944,36.67,"1",6.8,18,4.2,839.3,28.2,-14.5,42.7,16.7,-4.4,17.4,-4.4,312,56,13,48,138,44,130,44
"146",-111.782744,34.854638,"1",15.1,17.1,4.6,733.8,35.2,-1.9,37.1,24.2,18.1,24.8,6.1,476,58,9,37,153,52,117,136
"147",-105.911365,35.69887,"1",8.1,16.2,4.3,738.4,27.3,-9.7,37,16.9,-1.2,17.7,-1.2,450,83,22,55,211,68,197,68
"148",-106.294248,35.895753,"1",8.2,14.9,4,760.2,27.2,-9.3,36.5,17.2,-1.5,18.1,-1.5,445,78,23,47,196,74,180,74
"149",-112.009577,37.02089,"1",11.9,16,4,829.2,33.4,-6.2,39.6,22.1,15.7,22.8,1.5,232,30,8,28,72,35,60,65
"150",-105.28344,35.655365,"1",8.9,18,4.6,729.9,28.5,-10.1,38.6,17.6,-0.3,18.5,-0.3,414,86,11,71,214,38,209,38
"151",-111.801845,37.429932,"1",9.7,16,4,809.4,30.9,-8.5,39.4,19.6,13.3,20.3,-0.5,250,36,9,30,85,39,70,63
"152",-105.548438,36.376628,"1",7.7,18.1,4.2,823.9,28.8,-13.4,42.2,17.4,-3.2,18.2,-3.2,342,61,14,50,151,46,145,46
"153",-112.051606,36.196164,"1",7.3,15.7,4.3,725.9,27.1,-8.8,35.9,-0.5,10.2,16.9,-1.5,425,54,13,33,132,57,113,121
"154",-106.448904,35.210114,"1",4.9,15.1,4.4,669.8,23,-11,34,12.9,8,13.7,-3.4,644,106,33,45,271,103,248,132
"155",-110.603914,40.237736,"1",6.2,16.1,3.7,897.3,28.7,-14,42.7,13.1,-3.5,17.7,-5.6,292,30,21,12,87,65,77,66
"156",-106.275031,35.78339,"1",10.4,16,4.2,801.4,30.4,-7.6,38,20,0.3,20.8,0.3,344,62,15,51,157,51,143,51
"157",-102.966684,36.95728,"1",12.3,16.9,4.1,838.4,32.8,-7.6,40.4,20.9,1.8,23.3,1.8,396,71,8,64,182,26,182,26
"158",-102.971908,36.956494,"1",12.3,16.9,4.1,838.4,32.8,-7.6,40.4,20.9,1.8,23.3,1.8,396,71,8,64,182,26,182,26
"159",-102.947806,36.951868,"1",12.6,17.1,4.1,848.2,33.3,-7.6,40.9,21.3,1.9,23.7,1.9,389,70,8,65,180,25,180,25
"160",-103.968201,36.781384,"1",8.5,16.2,4.3,759.2,27.6,-10,37.6,18.4,-1,18.4,-1,464,86,12,63,219,41,219,41
"161",-106.078545,35.6716,"1",10.3,16.3,4.3,803,30.2,-7.7,37.9,19.9,0.3,20.7,0.3,350,64,16,53,164,50,150,50
"162",-112.184169,36.22587,"1",10.2,16.4,4.3,768.1,30.9,-6.9,37.8,19.8,13.4,20.3,0.8,327,44,11,32,106,46,91,88
"163",-113.035777,37.671819,"1",7.7,16.7,4.2,789.2,29.2,-10.1,39.3,17.7,10.8,18.2,-2,383,44,15,23,111,72,95,94
"164",-105.93435,35.716,"1",9,16.3,4.3,767.2,28.5,-9.2,37.7,18.1,-0.7,18.9,-0.7,402,75,19,56,191,58,177,58
"165",-103.967948,36.78158,"1",8.5,16.2,4.3,759.2,27.6,-10,37.6,18.4,-1,18.4,-1,464,86,12,63,219,41,219,41
"166",-106.3674,35.0324,"1",9.1,15.9,4.2,747,28.7,-8.3,37,18,12.9,18.9,-0.3,445,74,23,46,193,74,173,84
"167",-115.585586,35.526059,"1",11.4,13.5,4,728.3,30.2,-3.5,33.7,3.7,13.9,21.2,2.8,312,41,6,41,110,36,77,106
"168",-115.328283,35.2624,"1",12.6,12.8,3.9,724.8,31,-1.8,32.8,4.9,15.1,22.3,4,312,44,6,42,109,33,81,103
"169",-108.347447,35.037235,"1",8.5,18.5,4.6,772.4,29.4,-10.8,40.2,17.9,12,18.5,-1.3,352,63,14,49,155,46,131,72
"170",-105.891778,35.673303,"1",8.1,16.2,4.3,738.4,27.3,-9.7,37,16.9,-1.2,17.7,-1.2,450,83,22,55,211,68,197,68
"171",-106.203828,36.400487,"1",6.5,16.8,4.2,778.7,26.9,-12.7,39.6,15.9,-3.5,16.6,-3.5,398,70,22,44,168,69,156,69
"172",-105.889328,33.399197,"1",11.6,16.3,4.6,702,29.4,-5.6,35,19.8,10.9,20.8,2.8,392,79,11,68,206,49,187,61
"173",-105.905092,32.957172,"1",12.7,15.8,4.6,684.2,30,-4,34,20.6,12,21.6,4.1,389,76,10,64,199,44,178,65
"174",-103.976262,36.776523,"1",8.5,16.2,4.3,759.2,27.6,-10,37.6,18.4,-1,18.4,-1,464,86,12,63,219,41,219,41
"175",-106.396885,35.085908,"1",9.1,15.8,4.2,748.4,28.6,-8.3,36.9,18,12.9,18.9,-0.3,445,73,23,45,191,74,172,85
"176",-106.272179,35.780271,"1",10.4,16,4.2,801.4,30.4,-7.6,38,20,0.3,20.8,0.3,344,62,15,51,157,51,143,51
"177",-104.499445,36.644999,"1",9.7,18.3,4.4,800.7,30.1,-10.8,40.9,20,-0.5,20,-0.5,355,74,7,77,187,22,187,22
